player,avg_acs,avg_kda,avg_adr,avg_kast,avg_hs,avg_fk,avg_fd,avg_rating,n_games,cluster,pc1,pc2
Akeman,187.625,1.127637987012987,120.75,62.0,26.875,1.875,1.625,0.8125,8,0,-0.6949110660611209,3.140105306860626
Alfajer,209.5,1.5542274246221615,139.3421052631579,68.02631578947368,34.1578947368421,1.394736842105263,1.0789473684210527,1.0507894736842105,38,0,1.2477847425068291,0.49528961476851413
BeYN,170.75,1.6402031680440772,112.5,71.20454545454545,29.363636363636363,0.6818181818181818,0.6136363636363636,0.9688636363636364,44,1,-1.0432454731367804,-1.1160745280653321
Boaster,145.9090909090909,2.1219828151646336,94.27272727272727,69.97727272727273,24.363636363636363,0.4090909090909091,0.8181818181818182,0.8913636363636364,44,1,-2.352351671827835,-1.683761974514167
Boo,143.75,2.342559523809524,91.66666666666667,72.1304347826087,33.583333333333336,0.5833333333333334,0.9583333333333334,0.8537500000000001,24,1,-2.260807890283305,-1.9406439869850924
BuZz,190.58333333333334,1.2390722703222703,124.16666666666667,69.16666666666667,27.083333333333332,0.75,2.25,0.8275,12,0,-0.5882496173010168,2.0994208100574903
CHICHOO,159.8,1.4326190476190477,109.4,68.4,20.5,0.8,1.0,0.9039999999999999,10,1,-1.6459655677262572,0.14237476178871564
Chronicle,210.54545454545453,1.793893921734831,142.20454545454547,71.06818181818181,27.931818181818183,0.9545454545454546,0.7954545454545454,1.098409090909091,44,2,1.4373067897901672,-0.915984937619489
Cloud,209.26923076923077,1.696217671217671,138.8846153846154,71.76923076923077,29.923076923076923,0.6923076923076923,0.6153846153846154,1.0684615384615386,26,2,0.9664214131976774,-1.191186165337862
DH,186.25,1.4616402116402119,120.66666666666667,67.83333333333333,35.083333333333336,0.8333333333333334,1.3333333333333333,0.96,12,1,-0.46513181883311777,0.5743571173954625
Demon1,169.0,1.357747113997114,111.875,73.25,40.5,0.5,0.5,0.94875,8,1,-1.3467354791023194,-1.1533449800976154
Ethan,175.94117647058823,1.7952317290552584,112.91176470588235,73.61764705882354,23.58823529411765,0.8235294117647058,1.2647058823529411,0.9717647058823529,34,1,-0.43608671095798945,-0.7564428102288149
